"帰り","かえり","n","return","coming back",
"床屋","とこや","n","barbershop","barber",
"建て","～だて","n","two storied","separate housing",
"引き出し, 引出し","ひきだし","n","drawer","withdrawal, drawing out",
"形","かたち, よう","n","form"," shape, figure, visage",
"心","こころ","n","mind","heart, spirit, the meaning of a phrase (riddle, etc.)",
"忘れ物","わすれもの","n","lost article","something forgotten",
"息子","むすこ","n","(hum) son",,
"手袋, 手ぶくろ","てぶくろ","n","glove","mitten, mitt",
"技術","ぎじゅつ","n","art","craft, technique, technology, engineering, skill",
"押し入れ, 押入, 押入れ","おしいれ","n","(Japanese-style) closet",,
"指","ゆび, および, おゆび","n","finger","toe, digit",
"指輪","ゆびわ","n","(finger) ring",,
"政治","せいじ","n","politics","government",
"数学","すうがく","n","mathematics","arithmetic",
"文化","ぶんか","n","culture","civilization, civilisation, Bunka era (1804.2.11-1818.4.22)",
"文学","ぶんがく","n","literature",,
"新聞社","しんぶんしゃ","n","newspaper company",,
"旅館","りょかん","n","Japanese hotel","inn, ryokan",
"日記","にっき","n","diary","journal",
"星","ほし","n","star","any light-emitting (or reflecting) heavenly body (except for the sun and the moon), suspect (police slang)",
"木綿, 木棉","もめん, きわた","n","cotton (material)",,
"林","はやし","n","woods","forest, copse, thicket",
"枝","えだ","n","branch","bow, bough, twig, limb",
"柔道","じゅうどう","n","judo",,
"校長","こうちょう","n","principal","headmaster",
"棚","たな","n","shelf","shelves, ledge, rack, trellis",
"森","もり","n","forest","shrine grove",
"機会","きかい","n","chance","opportunity",
"正月","しょうがつ","n","New Year","New Year's Day, the first month, January",
"歯医者","はいしゃ","n","dentist",,
"毛","け","n","hair","fur",
"気","き","n","spirit","mind, heart, nature, disposition, motivation, intention, mood, feelings, atmosphere, essence",
"気分","きぶん","n","feeling","mood",
"気持ち, 気持","きもち","n","feeling","sensation, mood",
"水道","すいどう","n","water service","water supply",
"汽車","きしゃ","n","train (steam)",,
"治り","なおり","n","recovery",,
"消しゴム","けしゴム","n","eraser","India rubber",
"港","みなと","n","harbour","harbor, port",
"湖","みずうみ","n","lake",,
